url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/education-hub/about-azure-for-students,What is Azure for Students?,What is Azure for Students?,Understand Azure for Students credit limits,"Learn about the purpose of the Azure for Students program, including prerequisites.","Azure for Studentsis a Microsoft program that provides students at higher-education institutions with access to various Azure cloud services and resources. Joining Azure for Students grants you $100 in Azure credits, with no credit card required. This credit is valid for one year. You can renew each year that you're an active student to get an additional $100. Your subscription includes free access to select versions of services like Azure Virtual Machines, Azure SQL Database, Azure Blob Storage",2024-05-21T17:56:00.000Z,overview,limits-quotas,0.7,True,"Includes specific, time-bound monetary limits ($100 credit valid for one year and renewable annually), which are concrete program quotas not inferable from general training data.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/about-azure-for-students-starter,What is Azure for Students Starter?,What is Azure for Students Starter?,,"Learn about the purpose of the Azure for Students Starter program, including prerequisites.","Azure for Students Starteris a Microsoft program that gives students free access to various Azure cloud services and resources. You don't need a credit card to join the program. The free services include Azure App Service, Azure Functions, Azure Notification Hubs, and many others. You can upgrade to a pay-as-you-go subscription to deploy more resources.",2025-03-28T22:03:00.000Z,overview,,0.3,False,"High-level description of Azure for Students Starter and included services; no specific numeric limits, quotas, or detailed configuration beyond generic program overview.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/about-program,What is Azure Dev Tools for Teaching?,What is Azure Dev Tools for Teaching?,,Learn about the benefits that the Azure Dev Tools for Teaching program can offer to educators and students.,"Azure Dev Tools for Teaching will be adjusting its access policy on August 15th, 2025. After that date, only existing administrators will retain continued access and no new administrator signups will be allowed. If you are currently eligible but are not signed up, please sign up before August 15th, 2025. Azure Dev Tools for Teaching puts professional developer tools, software, and services from Microsoft in the hands of faculty and students. Plans in the program are part of various academic Volu",2025-07-11T18:02:00.000Z,overview,,0.4,False,"Program overview and policy date change (August 15, 2025) but no technical limits, configuration parameters, or troubleshooting details; primarily descriptive/eligibility information.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/download-software,Download software,Download software developer tools,,Learn how to help your students download software developer tools from the Azure Education Hub through the Azure Dev Tools for Teaching program.,Students who have an active Azure for Students subscription and/or are part of the Azure Dev Tools for Teaching program can download certain software developer tools for free on the Education Hub. Have your students follow the procedure in this article to download the tools from the Azure Education Hub.,2024-08-22T19:16:00.000Z,how-to,,0.2,False,"Explains that eligible students can download tools from the Education Hub and points to a procedure; lacks product-specific configuration, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/enroll-renew-subscription,Enroll or renew a subscription,Enroll in or renew an Azure Dev Tools for Teaching subscription,,Learn how to enroll in a new Azure Dev Tools for Teaching subscription and renew one that's about to expire.,"This article describes the process for enrolling in an Azure Dev Tools for Teaching subscription. It also explains when and how to renew a subscription. After you complete either of the following procedures, you receive confirmation emails that include updates on enrollment status and any possible next steps.",2024-05-21T17:56:00.000Z,quickstart,,0.3,False,"Describes enrollment and renewal process for subscriptions without exposing technical settings, limits, or error-resolution mappings; more of a procedural how-to.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/manage-students,Manage students,Manage student access in Azure Dev Tools for Teaching,,Learn how to manage student access to subscriptions in Azure Dev Tools for Teaching.,"After you purchase Azure Dev Tools for Teaching, all students in your institution's domain automatically get access to the offer. During the purchase process, you enter the subscription administrator's email address. This university-verified domain unlocks students who have the same email domain. Students can then sign in and redeem their software download benefits. If students don't already have a Microsoft account or are part of a university Active Directory instance, they're prompted to creat",2024-05-21T17:56:00.000Z,overview,,0.3,False,"Describes how student access is granted via institution domain and Microsoft accounts; no detailed RBAC roles, security configuration parameters, or numeric limits.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/set-up-access,Set up access,Set up access for Azure Dev Tools for Teaching,,Learn how to deploy software to students and labs.,"There are two ways to access your subscription so that you can deploy software to your students and outfit your labs: For more information, go to theAzure for Education website.",2024-05-21T17:56:00.000Z,how-to,,0.2,False,"Very high-level guidance on ways to access the subscription and deploy software; no detailed configuration parameters, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/azure-dev-tools-teaching/troubleshoot-login,Sign-in errors,Resolve student sign-in problems for Azure Dev Tools for Teaching,Fix Azure Dev Tools for Teaching sign-in errors,This article describes the actions that students should take if they get an error message when signing in to Azure Dev Tools for Teaching.,"Azure Dev Tools for Teaching requires every user to have a Microsoft account. Students are automatically directed to create a Microsoft account if they don't have one or their account isn't linked to one. If your domain is associated with Active Directory, all accounts under that domain are already considered Microsoft accounts. If a student tries to sign in and receives the following error message, the solution is to create a new Microsoft account or use an existing Microsoft account.",2024-05-21T17:56:00.000Z,troubleshooting,troubleshooting,0.75,True,"Provides a specific sign-in error condition and prescribes concrete resolution steps (create or use a Microsoft account, AD domain behavior), forming a symptom-to-solution troubleshooting guide.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/deploy-resources-azure-for-students,Deploy resources,Deploy resources with Azure for Students,,Get links to documentation that can help you deploy resources by using your Azure for Students subscription.,"Azure for Students gives you access to all the services on the Azure platform. This article links to documentation for some popular services, so you can learn about them and deploy resources.",2026-02-13T18:11:00.000Z,how-to,,0.2,False,"Acts as a navigation hub linking to other service docs; no direct expert details on limits, configuration, or troubleshooting within this page itself.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/faq,Frequently asked questions,Frequently asked questions about Azure for Education,,"Get answers to frequently asked questions about Azure for Students, Azure for Students Starter, and Azure Dev Tools for Teaching.","In this article, discover all you need to know about Azure for Education. Find answers to common questions about eligibility, benefits, and usage to optimize your experience.",2025-07-31T08:00:00.000Z,tutorial,,0.4,False,"FAQ about eligibility, benefits, and usage is likely descriptive and policy-oriented; summary does not indicate specific technical limits, configuration tables, or error-resolution mappings.",unchanged
https://learn.microsoft.com/en-us/azure/education-hub/navigate-costs,Track usage and create budgets,Track usage and create budgets in Azure for Students,Manage Azure for Students yearly credit quota,Learn how to track usage and create budgets in Microsoft Cost Management.,"Azure for Students provides $100 in Azure credit to be used for up to one year. You can renew each year that you're an active student to get an additional $100. However, you need to effectively manage and conserve your credit to keep your services running throughout the year.",2024-05-21T17:56:00.000Z,how-to,limits-quotas,0.7,True,"Reiterates specific program quota ($100 Azure credit usable for up to one year, renewable annually) and focuses on managing that finite limit, which is a concrete numeric quota.",unchanged
