url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/firewall-manager/configure-ddos,Configure DDoS Protection Plan,Configure Azure DDoS Protection Plan using Azure Firewall Manager,Configure Azure DDoS Protection plans via Firewall Manager,Learn how to use Azure Firewall Manager to configure Azure DDoS Protection Plan,"Azure Firewall Manager is a platform to manage and protect your network resources at scale. You can associate your virtual networks with a DDoS protection plan within Azure Firewall Manager. Tip DDoS Protection currently doesn't support virtual WANs. However, you can work around this limitation by force tunneling Internet traffic to an Azure Firewall in a virtual network that has a DDoS Protection Plan associated with it. Under a single tenant, DDoS protection plans can be applied to virtual net",2024-11-19T18:02:00.000Z,how-to,security,0.65,True,"Describes associating virtual networks with DDoS Protection plans, and a product-specific workaround for unsupported Virtual WANs via force tunneling; these are concrete security configuration behaviors.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/create-policy-powershell,Create and update policy,Quickstart: Create and update an Azure Firewall policy using Azure PowerShell,,"In this quickstart, you learn how create and update an Azure Firewall policy using Azure PowerShell.","In this quickstart, you use Azure PowerShell to create an Azure Firewall policy with network and application rules. You also update the existing policy by adding network and application rules.",2025-01-10T08:00:00.000Z,quickstart,,0.3,False,PowerShell quickstart for creating/updating firewall policy; procedural tutorial without structured config tables or error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/deploy-trusted-security-partner,Deploy security partner providers,Deploy an Azure Firewall Manager security partner provider,,Learn how to deploy an Azure Firewall Manager security partner provider using the Azure portal.,"Security partner providersin Azure Firewall Manager allow you to use your familiar, best-in-breed third-party security-as-a-service (SECaaS) offerings to protect Internet access for your users. To learn more about supported scenarios and best practice guidelines, seeWhat are security partner providers? Integrated third-party Security as a service (SECaaS) partners are now available:",2024-12-05T23:02:00.000Z,how-to,,0.4,False,"Tutorial for deploying a security partner provider; summary references scenarios and best practices but not clearly detailed configs, limits, or error mappings in the provided text.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/deployment-overview,General deployment process,Azure Firewall Manager deployment overview,,Learn the high-level deployment steps required for Azure Firewall Manager,"There's more than one way to use Azure Firewall Manager to deploy Azure Firewall, but the following general process is recommended. To review network architecture options, seeWhat are the Azure Firewall Manager architecture options?",2024-06-21T22:02:00.000Z,concept-article,,0.2,False,"High-level deployment overview; describes general process but not specific deployment constraints, matrices, or limits.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/dns-settings,DNS settings,Azure Firewall policy DNS settings,Configure DNS servers and DNS proxy in Azure Firewall policy,You can configure Azure Firewall policies with  DNS server and DNS proxy settings.,"You can configure a custom DNS server and enable DNS proxy for Azure Firewall. Configure these settings when you deploy the firewall, or configure them later from theDNS settingspage. By default, Azure Firewall uses Azure DNS and DNS Proxy is disabled.",2024-06-21T17:04:00.000Z,how-to,configuration,0.75,True,"Describes DNS settings including default behavior (Azure DNS, DNS Proxy disabled) and how to configure custom DNS and proxy; these are explicit configuration parameters and defaults.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/fqdn-filtering-network-rules,FQDN in network rules,Azure Firewall Manager filtering in network rules,Use FQDN filtering in Azure Firewall network rules,How to use FQDN filtering in network rules,"A fully qualified domain name (FQDN) represents a domain name of a host or one or more IP addresses. You can use FQDNs in network rules based on DNS resolution in Azure Firewall and Firewall policy. This capability allows you to filter outbound traffic with any TCP/UDP protocol (including NTP, SSH, RDP, and more). You must enable DNS Proxy to use FQDNs in your network rules. For more information, seeAzure Firewall policy DNS settings.",2024-06-21T22:02:00.000Z,concept-article,configuration,0.7,True,"Describes using FQDNs in network rules based on DNS resolution and the requirement to enable DNS Proxy; these are concrete, product-specific configuration requirements.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/ip-groups,IP Groups,IP Groups in Azure Firewall Policy,Configure and reuse IP Groups in Azure Firewall policy,IP groups allow you to group and manage IP addresses for Azure Firewall policy rules.,"IP Groups allow you to group and manage IP addresses for Azure Firewall policy in the following ways: An IP Group can have a single IP address, multiple IP addresses, or one or more IP address ranges. IP Groups can be reused in Azure Firewall DNAT, network, and application rules for multiple firewalls across regions and subscriptions in Azure. Group names must be unique. You can configure an IP Group in the Azure portal, Azure CLI, or REST API. A sample template is provided to help you get start",2024-12-03T08:00:00.000Z,concept-article,configuration,0.65,True,"Describes IP Groups as reusable objects in DNAT, network, and application rules, including constraints like uniqueness of group names and how they’re used across regions/subscriptions; this is product-specific configuration behavior not captured by generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/manage-web-application-firewall-policies,Manage WAF policies,Manage Azure Web Application Firewall policies,Centrally manage WAF policies with Azure Firewall Manager,Learn how to use Azure Firewall Manager to manage Azure Web Application Firewall policies,"You can centrally create and associate Web Application Firewall (WAF) policies for your application delivery platforms, including Azure Front Door and Azure Application Gateway.",2024-07-29T17:21:00.000Z,how-to,security,0.6,True,Shows how to centrally create and associate WAF policies for Front Door and Application Gateway; this is product-specific security policy management behavior.,unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/migrate-to-policy,Migrate to Firewall policy - PowerShell,Migrate Azure Firewall configurations to Azure Firewall policy using PowerShell,Migrate Azure Firewall rules to Firewall policy with PowerShell,Learn How to migrate Azure Firewall configurations to Azure Firewall policy,"You can use an Azure PowerShell script to migrate existing Azure Firewall configurations to an Azure Firewall policy resource. You can then use Azure Firewall Manager to deploy the policy. TheAZFWMigrationScript.ps1script  creates a FirewallPolicy with three RuleCollectionGroup objects for ApplicationRuleCollections, NetworkRuleCollections, and NatRuleCollections respectively. A RuleCollectionGroup is a new top-level grouping for rule collections for future extensibility. Using the above default",2025-01-10T08:00:00.000Z,how-to,configuration,0.65,True,Details a migration script that creates FirewallPolicy and RuleCollectionGroup objects with specific structure; these are product-specific configuration objects and migration behavior.,unchanged
https://learn.microsoft.com/en-us/azure/firewall-manager/overview,What is Azure Firewall Manager?,What is Azure Firewall Manager?,,Learn about Azure Firewall Manager features.,"Azure Firewall Manager is a security management service that provides central security policy and route management for cloud-based security perimeters. Firewall Manager can provide security management for two network architecture types: Secured virtual hub AnAzure Virtual WAN Hubis a Microsoft-managed resource that lets you easily create hub and spoke architectures. When security and routing policies are associated with such a hub, it's referred to as asecured virtual hub. Hub virtual network Th",2025-01-27T18:03:00.000Z,overview,,0.2,False,"High-level product/feature overview of Azure Firewall Manager without concrete limits, configs, or error mappings.",unchanged
