url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/concepts/capability-hosts,Capability hosts,Capability hosts for Foundry Agent Service (classic) - Microsoft Foundry (classic),Configure and troubleshoot Foundry capability hosts,"Learn how capability hosts route agent data to Microsoft-managed or your own Azure resources, and how to configure and troubleshoot them. (classic)","Currently viewing:Foundry (classic) portal version-Switch to version for the new Foundry portal Note Updating capability hosts is not supported. To modify a capability host, you must delete the existing one and recreate it with the new configuration. Capability hosts are sub-resources that you configure at both the Microsoft Foundry account and Foundry project scopes. They tell Foundry Agent Service where to store and process agent data, including:",2026-03-06T23:10:00.000Z,concept-article,configuration,0.7,True,"Explains capability hosts, how they route data, and how to configure and troubleshoot them; likely includes specific configuration fields and constraints (for example, non-updatable resources).",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/concepts/model-region-support,Model and region support,Azure OpenAI models and regions for Foundry Agent Service (classic) - Microsoft Foundry (classic),Choose Azure OpenAI models and regions for agents,"Find supported Azure OpenAI models and regions for Microsoft Foundry Agent Service. Compare gpt-5, gpt-4o, and gpt-4 availability across global and regional deployments. (classic)","Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Azure OpenAI models power agents in Microsoft Foundry Agent Service. This article helps you choose a supported model and region combination for your deployment. Choosing the right model and region affects your agent's capabilities, latency, and cost. To use these models, you need aMicrosoft Foundry projectwith access to Foundry Agent Service. Microsoft ",2026-02-27T23:08:00.000Z,concept-article,decision-making,0.8,True,"Helps choose supported model-region combinations with impact on capabilities, latency, and cost; likely includes comparison tables and decision guidance.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/concepts/standard-agent-setup,Standard agent setup,Set up standard agent resources for Foundry Agent Service (classic) - Microsoft Foundry (classic),Configure standard agent resources with data isolation,Learn how to provision and configure customer-managed Azure resources for Foundry Agent Service standard agent setup with enterprise-grade data isolation. (classic),"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Standard agent setup uses customer-managed, single-tenant Azure resources to store agent state and keep all agent data under your control. Use standard setup when you need full data sovereignty, compliance with enterprise security policies, or project-level isolation. In this setup: Tip For a simpler setup that uses Microsoft-managed resources, seeEnvir",2026-02-27T23:08:00.000Z,how-to,configuration,0.8,True,"Describes provisioning and configuring customer-managed resources for standard agent setup; likely includes specific resource types, settings, and allowed values.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/concepts/threads-runs-messages,"Threads, runs, and messages","Threads, Runs, and Messages in the Foundry Agent Service (classic) - Microsoft Foundry (classic)",,Learn about the components used in the Foundry Agent Service. (classic),"Note This document refers to the Microsoft Foundry (classic) portal. Agents (classic) are now deprecated and will be retired on March 31, 2027. Use the new agents in the generally availableMicrosoft Foundry Agents Service. Follow themigration guideto update your workloads. Foundry Agent Service supports persistent threads, runs, and messages. These components are essential for managing conversation states and interactions with users.",2026-03-06T23:10:00.000Z,concept-article,,0.2,False,"Conceptual explanation of threads, runs, and messages in the agent service. Describes components and behavior but does not indicate detailed configuration parameters, limits, or error-resolution mappings.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/environment-setup,Environment setup,Set up your environment for Foundry Agent Service (classic) - Microsoft Foundry (classic),Set up infrastructure for Foundry Agent Service,Use this guide to set up your agent environment (classic),"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. In this article, you deploy the infrastructure needed to create agents with Foundry Agent Service. After completing this setup, you can create and configure agents using either the SDK of your choice or the Foundry portal. Creating your first agent is a two-step process:",2026-02-27T23:08:00.000Z,how-to,configuration,0.6,True,"Environment setup for agents likely includes specific Azure resources, configuration parameters, and required settings unique to standard agent deployments.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/faq,FAQ,Foundry Agent Service frequently asked questions - Microsoft Foundry,,"Get answers to common questions about Foundry Agent Service, including setup options, data handling, pricing, and networking.","Find answers to common questions about Foundry Agent Service. If you can't find answers to your questions in this article and you still need help, seeFoundry Tools support and help options. Foundry Agent Service is part of Foundry Tools. For getting started, see:",2026-02-27T23:08:00Z,faq,,0.4,False,"FAQ for Agent Service; generally high-level answers, not structured as detailed limits, configs, or error-resolution mappings.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/how-to/connected-agents,Connected agents,How to use connected agents (classic) - Microsoft Foundry (classic),,Learn how to create multi-agentic systems using connected agents in the Foundry Agent Service. (classic),"Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. Note This tool is only available in2025-05-15-previewAPI. We highly recommend you to migrate to use the2025-11-15-previewAPI versionworkflowsfor multi-agent orchestration. Connected agents in Foundry Agent Service let you break down complex tasks into coordinated, specialized roles—without the need for a custom orchestrator or hand-coded routing logic. ",2026-02-27T23:08:00.000Z,how-to,,0.5,False,"Connected agents article appears conceptual/how-to for multi-agent orchestration; summary doesn’t show detailed config tables, limits, or error-code mappings.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/how-to/metrics,Service monitoring,Monitor Foundry Agent Service with Azure Monitor (classic) - Microsoft Foundry (classic),Configure Azure Monitor metrics for Foundry Agent Service,"Learn how to use Azure Monitor to view, analyze, and alert on platform metrics for Foundry Agent Service, including Log Analytics export and KQL queries. (classic)","Note This document refers to theMicrosoft Foundry (classic)portal. 🔍View the Microsoft Foundry (new) documentationto learn about the new portal. This article describes: Note If you're already familiar with this service and/or Azure Monitor and just want to know how to analyze monitoring data, see theAnalyzesection near the end of this article. When you have critical applications and business processes that rely on Azure resources, you need to monitor and get alerts for your system. The Azure Mon",2026-02-27T23:08:00.000Z,how-to,configuration,0.7,True,"Monitoring article likely lists specific metric names, dimensions, and KQL queries for this service, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/how-to/tools-classic/azure-ai-search,Overview,How to use an existing AI Search index with the Azure AI Search tool (classic) - Microsoft Foundry (classic),Connect Foundry agents to existing Azure AI Search index,Learn how to use Agents Azure AI Search tool. (classic),"Note This document refers to the Microsoft Foundry (classic) agents. 🔍View the new Azure AI Search tool documentation.
Agents (classic) are now deprecated and will be retired on March 31, 2027. Use the new agents in the generally availableMicrosoft Foundry Agents Service. Follow themigration guideto update your workloads. TheAzure AI Searchtool in Agent Service connects an agent to a new or existing search index. You can use this tool to retrieve and summarize your indexed documents, grounding t",2026-03-06T08:00:00.000Z,how-to,integrations,0.68,True,"How-to for wiring the Azure AI Search tool to an existing index for grounding. Likely includes tool-specific parameters (index name, search settings) and integration behavior unique to Foundry agents and Azure AI Search, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-classic/agents/how-to/tools-classic/azure-ai-search-samples,How to use Azure AI Search,How to use Azure AI Search in Foundry Agent Service (classic) - Microsoft Foundry (classic),Use Azure AI Search tool samples with Foundry agents,Learn how to ground Azure AI Agents with content indexed in Azure AI Search. (classic),"Note This document refers to the Microsoft Foundry (classic) agents. 🔍View the new Azure AI Search tool documentation.
Agents (classic) are now deprecated and will be retired on March 31, 2027. Use the new agents in the generally availableMicrosoft Foundry Agents Service. Follow themigration guideto update your workloads. This article explains how to use an existing search index with theAzure AI Searchtool.",2026-03-06T08:00:00.000Z,how-to,integrations,0.7,True,"Sample-focused article for using an existing search index with the Azure AI Search tool. Contains concrete code samples and configuration for the tool, representing product-specific integration patterns rather than generic search usage.",unchanged
