url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-identity,Agent identity,Manage agent identities with Microsoft Entra ID - Microsoft Foundry,Manage Foundry agent identities with Entra ID,"Learn how agent identities and agent identity blueprints work in Microsoft Foundry, including RBAC, authentication for tools, and governance.","Anagent identityis a specialized identity type inMicrosoft Entra IDthat's designed specifically for AI agents. It provides a standardized framework for governing, authenticating, and authorizing AI agents across Microsoft services. This framework enables agents to securely access resources, interact with users, and communicate with other systems. Microsoft Foundry automatically provisions and manages agent identities throughout the agent lifecycle. This integration simplifies permission manageme",2026-02-27T23:08:00.000Z,concept-article,security,0.7,True,"Covers agent identities, RBAC, authentication for tools, and governance; likely includes specific Entra ID role names and permission scopes.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/agent-to-agent-authentication,Agent2Agent (A2A) authentication (preview),Agent2Agent (A2A) authentication - Microsoft Foundry,Choose authentication methods for Agent2Agent tools,Learn about ways of adding authentication to the Agent2Agent tool in the Foundry Agent Service.,The Agent2Agent (A2A) protocol enables your agents to invoke other agents. Most A2A endpoints require authentication to access the endpoint and its underlying service. Configuring authentication ensures that only authorized users can invoke your A2A tools in Foundry Agent Service. This article explains the authentication methods available for A2A connections and helps you choose the right approach for your scenario.,2026-02-27T23:08:00.000Z,how-to,security,0.7,True,Explains A2A authentication methods and when to use each; product-specific security configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/capability-hosts,Capability hosts,Capability hosts for Foundry Agent Service - Microsoft Foundry,Configure capability hosts for Foundry Agent Service,"Learn how capability hosts route agent data to Microsoft-managed or your own Azure resources, and how to configure and troubleshoot them.","Note Updating capability hosts is not supported. To modify a capability host, you must delete the existing one and recreate it with the new configuration. Capability hosts are sub-resources that you configure at both the Microsoft Foundry account and Foundry project scopes. They tell Foundry Agent Service where to store and process agent data, including:",2026-02-27T23:08:00.000Z,concept-article,configuration,0.65,True,"Describes configuring capability hosts at account and project scope, routing data to specific resources; likely includes concrete setting names and options.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/development-lifecycle,Agent development lifecycle,Agent development lifecycle - Microsoft Foundry,,"Learn the agent development lifecycle in Microsoft Foundry, from creating and versioning to tracing, evaluation, publishing, and monitoring.","The agent development lifecycle in Microsoft Foundry spans from initial creation through production monitoring. Following this lifecycle helps you build reliable agents, catch issues early, and ship with confidence. Use the Foundry portal or code to build, customize, and test your agent's behavior. Then iterate with tracing, evaluation, and monitoring to improve quality and reliability. When you're ready, publish your agent as an agent application to share it and integrate it into your apps. Thi",2026-02-27T23:08:00.000Z,concept-article,,0.3,False,"Describes the agent development lifecycle conceptually (creation, tracing, evaluation, monitoring); no concrete limits, configs, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/foundry-iq-faq,FAQ,Foundry IQ FAQ - Microsoft Foundry,,"Frequently asked questions about Foundry IQ, knowledge bases, knowledge sources, and agentic retrieval.",Find answers to common questions aboutFoundry IQ.,2026-03-14T05:04:00Z,faq,,0.3,False,"FAQ for Foundry IQ; likely conceptual Q&A and feature clarifications without detailed limits, configs, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/hosted-agents,What is a hosted agent?,Hosted agents in Foundry Agent Service (preview) - Microsoft Foundry,,"Deploy and manage containerized agents on Foundry Agent Service (preview) with managed hosting, scaling, and observability.","When you build agentic applications by using open-source frameworks, you typically manage containerization, web server setup, security integration, memory persistence, infrastructure scaling, data transmission, instrumentation, and version rollbacks. These tasks become even more challenging in heterogeneous cloud environments. Important If you use Foundry Agent Service to host agents that interact with third-party models, servers, or agents, you do so at your own risk. We recommend reviewing all",2026-03-05T08:00:00.000Z,concept-article,,0.4,False,Conceptual description of hosted agents and managed hosting; warning about third-party risk but no detailed config tables or limits visible in summary.,unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/limits-quotas-regions,"Quotas, limits, and region support",Quotas and limits for Microsoft Foundry Agent Service - Microsoft Foundry,Review quotas and limits for Foundry Agent Service,"Review default limits for Foundry Agent Service, including file sizes, vector stores, messages, tools, error handling, supported regions, and compatible models.","Foundry Agent Service enforces quotas and limits on agent artifacts, file uploads, messages, and tool registrations. Understanding these limits helps you design applications that scale without hitting service boundaries. This article lists default limits, supported regions, compatible models, and guidance for handling limit errors. Note Foundry Agent Service is generally available (GA). Some sub-features, such ashosted agents, are in public preview and might have different constraints.",2026-03-11T22:16:00.000Z,concept-article,limits-quotas,0.95,True,"Explicitly lists default limits for files, vector stores, messages, tools, and error handling; these numeric constraints and region/model support tables are classic limits & quotas expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/runtime-components,Agent runtime components,"Build with agents, conversations, and responses in Foundry Agent Service - Microsoft Foundry","Use agents, conversations, and responses via SDKs","Learn how to create agents, manage conversations, and generate responses in Microsoft Foundry Agent Service with code examples in Python, C#, JavaScript, Java, and REST API.","Microsoft Foundry Agent Service uses three core runtime components—agents,conversations, andresponses—to power stateful, multi-turn interactions. An agent defines what model, instructions, and tools to use. A conversation persists history across turns. A response is the output the agent produces when it processes input. This article walks through each component and shows how to use them together in code. You'll learn how to create an agent, start a conversation, generate responses (with or witho",2026-03-13T22:11:00.000Z,concept-article,integrations,0.65,True,"Explains runtime components with code examples across multiple SDKs and REST; likely includes API parameters and request/response structures, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/standard-agent-setup,Standard agent setup,Set up standard agent resources for Foundry Agent Service - Microsoft Foundry,Choose and configure standard agent setup for data isolation,Learn how to provision and configure customer-managed Azure resources for Foundry Agent Service standard agent setup with enterprise-grade data isolation.,"Standard agent setup uses customer-managed, single-tenant Azure resources to store agent state and keep all agent data under your control. Use standard setup when you need full data sovereignty, compliance with enterprise security policies, or project-level isolation. In this setup: Tip For a simpler setup that uses Microsoft-managed resources, seeEnvironment setupand choose the basic agent setup option.",2026-02-27T23:08:00.000Z,how-to,decision-making,0.65,True,"Explains when to use standard agent setup vs basic, focusing on data sovereignty and isolation; provides product-specific setup guidance for this choice.",unchanged
https://learn.microsoft.com/en-us/azure/foundry/agents/concepts/tool-best-practice,Tool best practices,Tool best practices for Microsoft Foundry Agent Service - Microsoft Foundry,Apply tool usage best practices for Foundry agents,"Learn tool best practices for Foundry Agent Service: configure tool_choice, secure tool usage, and troubleshoot tool-calling issues.","When you build agents in Microsoft Foundry Agent Service, tools extend what your agent can do—retrieving information, calling APIs, and connecting to external services. This article helps you configure tools effectively, control when the model calls them, and keep your data secure. Tip In your agent instructions, describe what each tool is for and when to use it. For example: When you need information from my indexed documents, use File Search. When you need to call an API, use the OpenAPI tool.",2026-03-13T22:11:00.000Z,concept-article,best-practices,0.8,True,"Explicitly a best-practices article for configuring tools, tool_choice, secure usage, and troubleshooting tool-calling; product-specific DOs/DON’Ts and gotchas.",unchanged
