url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-common-identity?view=azureml-api-2,Integrate with Active Directory,Set up a common identity - Azure Data Science Virtual Machine,Configure common identity for multiple DSVMs,Learn how to create common user accounts that can be used across multiple Data Science Virtual Machines. You can use Microsoft Entra ID or an on-premises Active Directory to authenticate users to the ,"On a Microsoft Azure Virtual Machine (VM), or a Data Science Virtual Machine (DSVM), you create local user accounts while provisioning the VM. Users then authenticate to the VM with credentials for those user accounts. If you have multiple VMs and your users need to access them, credential management can become difficult. To solve the problem, you can deploy common user accounts and manage those accounts through a standards-based identity provider. You can then use a single set of credentials to",2024-10-28T22:03:00.000Z,how-to,security,0.75,True,Explains using Microsoft Entra ID or on-prem AD for shared accounts across DSVMs; includes product-specific identity configuration patterns and scopes.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-enterprise-overview?view=azureml-api-2,Enterprise security and guidance,Team analytics and AI environment - Azure Data Science Virtual Machine,Design team analytics environments with DSVM,Patterns for deploying the Data Science VM in an enterprise team environment.,"TheData Science Virtual Machine (DSVM)provides a rich environment on the Azure platform, with prebuilt software for artificial intelligence (AI) and data analytics. Traditionally, the DSVM has been used as an individual analytics desktop. This shared, prebuilt analytics environment boosts productivity for scientists. As large analytics teams plan environments for their data scientists and AI developers, one recurring theme is a shared development and experimentation analytics infrastructure. Thi",2024-08-28T16:59:00.000Z,overview,architecture-patterns,0.65,True,"Covers patterns for deploying DSVM in an enterprise team environment; discusses shared environments and patterns specific to DSVM usage, which is architecture guidance unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-pools?view=azureml-api-2,Create an autoscaled Data Science Virtual Machine pool,Shared pools - Azure Data Science Virtual Machine,Architect shared DSVM pools for analytics teams,Learn how to create & deploy a shared pool of Data Science Virtual Machines (DSVMs) as a shared resource for a team.,"In this article, you'll learn how to create a shared pool of Data Science Virtual Machines (DSVMs) for a team. Use of a shared pool offers important advantages: You can use many methods and technologies to create a pool of DSVMs. This article focuses on pools for interactive virtual machines (VMs). An alternative managed compute infrastructure involves Azure Machine Learning Compute. For more information, visitCreate compute cluster.",2024-08-28T16:59:00.000Z,concept-article,architecture-patterns,0.7,True,"Guides creation of shared DSVM pools, comparing approaches and discussing advantages; this is a DSVM-specific architecture pattern for team compute environments.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-samples-and-walkthroughs?view=azureml-api-2,Samples,Sample programs & ML walkthroughs - Azure Data Science Virtual Machine,,"Through these samples and walkthroughs, learn how to handle common tasks and scenarios with the Data Science Virtual Machine.","An Azure Data Science Virtual Machines (DSVM) includes a comprehensive set of sample code. These samples include Jupyter notebooks and scripts in languages like Python and R. Note For more information about how to run Jupyter notebooks on your data science virtual machines, visit theAccess Jupytersection.",2024-08-28T16:59:00.000Z,sample,,0.4,False,"Describes availability of sample code and walkthroughs; largely navigational and does not itself contain detailed configs, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-secure-access-keys?view=azureml-api-2,Secure resource access credentials,Securely store access credentials - Azure Data Science Virtual Machine,Secure DSVM credentials with managed identities and Key Vault,Learn how to securely store access credentials on the Data Science Virtual Machine. You'll learn how to use managed service identities and Azure Key Vault to store access credentials.,"Cloud application code often contains credentials to authenticate to cloud services. Management and security of these credentials is a well-known challenge as we build cloud applications. Ideally, credentials should never appear on developer workstations. We should never check in credentials to source control. Themanaged identities for Azure resourcesfeature helps solve the problem. It gives Azure services an automatically managed identity in Microsoft Entra ID. You can use this identity to auth",2024-08-28T16:59:00.000Z,how-to,security,0.8,True,Details using managed identities and Azure Key Vault for DSVM credential storage; includes product-specific security configuration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-data-platforms?view=azureml-api-2,Data platforms,Supported data platforms - Azure Data Science Virtual Machine,,Learn about the supported data platforms and tools for the Azure Data Science Virtual Machine.,"With a Data Science Virtual Machine (DSVM), you can build your analytics resources against a wide range of data platforms. In addition to interfaces to remote data platforms, the DSVM provides a local instance for rapid development and prototyping. The DSVM supports these data platform tools:",2026-04-10T22:08:00.000Z,concept-article,,0.2,False,"Page is a catalog of supported data platforms/tools on Azure Data Science Virtual Machine without detailed limits, configuration parameter tables, error codes, or decision matrices. It’s primarily descriptive capability/feature listing rather than expert operational details.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-data-science?view=azureml-api-2,ML and data science tools,Machine learning and data science tools - Azure Data Science Virtual Machine,Use preinstalled ML tools on Azure DSVM,Learn about the machine-learning tools and frameworks that are preinstalled on the Data Science Virtual Machine.,"Azure Data Science Virtual Machines (DSVMs) have a rich set of tools and libraries for machine learning. These resources are available in popular languages, such as Python, R, and Julia. The DSVM supports these machine-learning tools and libraries:",2024-08-28T16:59:00.000Z,concept-article,configuration,0.7,True,"Reference list of machine learning tools and libraries on DSVM; details what is configured in the image, which is expert, product-specific information.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-deep-learning-frameworks?view=azureml-api-2,Deep Learning and AI frameworks,Deep Learning & AI frameworks - Azure Data Science Virtual Machine,Check deep learning frameworks on Azure DSVM,Available deep learning frameworks and tools on Azure Data Science Virtual Machine.,Deep learning frameworks on the DSVM are listed here:,2024-08-28T16:59:00.000Z,concept-article,configuration,0.7,True,"Reference-style list of deep learning frameworks available on DSVM; this is effectively configuration of the image contents, which is product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-development?view=azureml-api-2,Development tools,Development tools - Azure Data Science Virtual Machine,Identify development tools available on DSVM,Learn about the tools and integrated development environments available on the Data Science Virtual Machine.,The Data Science Virtual Machine (DSVM) bundles several popular tools in one integrated development environment (IDE). The DSVM offers these tools:,2024-08-28T16:59:00.000Z,concept-article,configuration,0.7,True,Describes specific IDEs and development tools bundled with DSVM; product-specific environment configuration.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-ingestion?view=azureml-api-2,Data ingestion tools,Data ingestion tools - Azure Data Science Virtual Machine,Use data ingestion tools on Azure DSVM,Learn about the data ingestion tools and utilities that are preinstalled on the Data Science Virtual Machine.,"At an early stage in a data science or AI project, you must identify the needed datasets, and then bring them into your analytics environment. The Data Science Virtual Machine (DSVM) provides tools and libraries to bring data from different sources into local analytical data storage resources on the DSVM. The DSVM can also bring data into a data platform located either on the cloud or on-premises. The DSVM offers these data movement tools:",2024-08-28T16:59:00.000Z,concept-article,configuration,0.65,True,Describes specific ingestion tools and utilities preinstalled on DSVM; product-specific environment configuration.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-languages?view=azureml-api-2,Programming languages,Supported languages - Azure Data Science Virtual Machine,Review programming languages preinstalled on DSVM,The supported program languages and related tools preinstalled on the Data Science Virtual Machine.,"To build artificial intelligence (AI) applications, the Data Science Virtual Machine (DSVM) includes with several prebuilt languages and development tools:",2024-08-28T16:59:00.000Z,concept-article,configuration,0.7,True,Lists supported languages and related tools on DSVM; constitutes a configuration reference of the environment.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tools-productivity?view=azureml-api-2,Productivity tools,Productivity tools - Azure Data Science Virtual Machine,Leverage productivity tools on Azure DSVM,Learn about the productivity tools on the Data Science Virtual Machines.,"In addition to the data science and programming tools, the Data Science Virtual Machine (DSVM) offers productivity tools that help you capture and share insights with your colleagues. Microsoft 365 is the most productive and most secure Office experience for enterprises, allowing your teams to work together seamlessly from anywhere, anytime. With Power BI Desktop, you can move from data to insight to action. Additionally, the Microsoft Edge browser is a modern, fast, and secure Web browser.",2024-08-28T16:59:00.000Z,concept-article,configuration,0.6,True,"Lists productivity tools (Power BI Desktop, Edge, etc.) included on DSVM; still a configuration reference of what the image contains.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tutorial-bicep?view=azureml-api-2,Create a DSVM with Bicep,Quickstart: Create an Azure Data Science VM - Bicep - Azure Data Science Virtual Machine,Deploy Azure DSVM using Bicep templates,"In this quickstart, you use Bicep to quickly deploy a Data Science Virtual Machine.","This quickstart shows how to create an Ubuntu Data Science Virtual Machine using Bicep. A Data Science Virtual Machine (DSVM) is a cloud-based virtual machine, preloaded with a suite of data science and machine learning frameworks and tools. When deployed on GPU-powered compute resources, all tools and libraries are configured to use the GPU. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and supp",2024-08-28T16:59:00.000Z,quickstart,deployment,0.65,True,"Product-specific deployment using Bicep; includes DSVM resource definitions and parameters unique to this service, which are deployment-focused details beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-tutorial-resource-manager?view=azureml-api-2,Create a DSVM with an ARM template,Quickstart: Create a Data Science VM - Resource Manager template - Azure Data Science Virtual Machine,Deploy Azure DSVM with ARM templates,Learn how to use an Azure Resource Manager template to quickly deploy a Data Science Virtual Machine,"This quickstart shows how to create an Ubuntu Data Science Virtual Machine (DSVM) using an Azure Resource Manager template (ARM template). A Data Science Virtual Machine is a cloud-based resource, preloaded with a suite of data science and machine learning frameworks and tools. When deployed on GPU-powered compute resources, all tools and libraries are configured to use the GPU. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and confi",2024-08-28T16:59:00.000Z,quickstart,deployment,0.65,True,Shows DSVM deployment via ARM templates with DSVM-specific resource configuration; this is product-specific deployment knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/dsvm-ubuntu-intro?view=azureml-api-2,Create an Ubuntu Data Science Virtual Machine,Quickstart: Create an Ubuntu Data Science Virtual Machine - Azure Data Science Virtual Machine,,Configure and create a Data Science Virtual Machine for Linux (Ubuntu) to do analytics and machine learning.,Get up and running with the Ubuntu 20.04 Data Science Virtual Machine (DSVM) and the Azure DSVM for PyTorch.,2024-10-14T08:00:00.000Z,quickstart,,0.3,False,Quickstart for creating an Ubuntu DSVM; focuses on basic provisioning steps rather than detailed configuration or expert troubleshooting content.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/how-to-track-experiments?view=azureml-api-2,Track Experiments,Experiment tracking and deploying models - Azure Data Science Virtual Machine,Track DSVM experiments with MLflow and Azure ML,Learn how to track and log experiments from the Data Science Virtual Machine with Azure Machine Learning and/or MLFlow.,"In this article, learn how to add logging code to your training script with theMLflowAPI and track the experiment in Azure Machine Learning. You can monitor run metrics, to enhance the model creation process. This diagram shows that with MLflow Tracking, you track the run metrics of an experiment, and store model artifacts in your Azure Machine Learning workspace:",2024-08-28T16:59:00.000Z,how-to,integrations,0.7,True,Shows how to add MLflow logging code and integrate DSVM workloads with Azure Machine Learning; includes product-specific API usage and integration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/linux-dsvm-walkthrough?view=azureml-api-2,Use a Linux Data Science Virtual Machine,Explore Linux - Azure Data Science Virtual Machine,,Learn how to complete several common data science tasks by using the Linux Data Science Virtual Machine.,"This walkthrough describes how to complete several common data science tasks with the Ubuntu Data Science Virtual Machine (DSVM). The Ubuntu DSVM is a virtual machine image available in Azure, with a preinstalled tool collection commonly used for data analytics and machine learning. TheProvision the Ubuntu Data Science Virtual Machineresource itemizes the key software components. The DSVM image makes it easy to get started with data science in just a few minutes, avoiding the need to install and",2024-08-28T16:59:00.000Z,concept-article,,0.45,False,"Linux DSVM walkthrough for common tasks; primarily step-by-step usage, not configuration reference or troubleshooting with error codes.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/overview?view=azureml-api-2,What is the Data Science Virtual Machine (DSVM)?,What is the Azure Data Science Virtual Machine - Azure Data Science Virtual Machine,,Overview of Azure Data Science Virtual Machine - An easy to use virtual machine on the Azure cloud platform with preinstalled and configured tools and libraries for doing data science.,"The Data Science Virtual Machine (DSVM) is a customized VM image available on the Azure cloud platform, and it can handle data science. It has many popular data science tools preinstalled and preconfigured to jump-start building intelligent applications for advanced analytics. The DSVM is available on: Additionally, we offer Azure DSVM for PyTorch - an Ubuntu 20.04 image from Azure Marketplace optimized for large, distributed deep learning workloads. This preinstalled DSVM comes validated with t",2024-08-28T16:59:00.000Z,overview,,0.2,False,"High-level overview of DSVM capabilities and images; no detailed limits, configs, or product-specific troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/provision-vm?view=azureml-api-2,Create a Windows Data Science Virtual Machine,Quickstart: Create a Windows Data Science Virtual Machine - Azure Data Science Virtual Machine,,Learn how to configure and create a Data Science Virtual Machine on Azure for analytics and machine learning.,Get up and running with a Windows Server 2022 Data Science Virtual Machine (DSVM).,2024-08-28T16:59:00.000Z,quickstart,,0.3,False,"Quickstart for creating a Windows DSVM; primarily step-by-step provisioning without detailed config tables, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/reference-known-issues?view=azureml-api-2,Known issues,Reference: Known issues & troubleshooting - Azure Data Science Virtual  Machine,Troubleshoot known issues on Azure DSVM,"Get a list of the known issues, workarounds, and troubleshooting for Azure Data Science Virtual Machine",This article explains how to find and correct errors or failures you might come across when using the Azure Data Science Virtual Machine.,2024-08-28T16:59:00.000Z,reference,troubleshooting,0.85,True,"Explicitly a known issues and troubleshooting reference; contains DSVM-specific errors, causes, and workarounds, matching the troubleshooting criteria.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/reference-ubuntu-vm?view=azureml-api-2,Ubuntu Data Science Virtual Machine,Reference: Ubuntu Data Science Virtual Machine - Azure Data Science Virtual Machine,Reference tools installed on Ubuntu DSVM,Details on tools included in the Ubuntu Data Science Virtual Machine,This document presents a list of available tools on your Ubuntu Data Science Virtual Machine (DSVM).,2024-08-28T16:59:00.000Z,reference,configuration,0.85,True,Detailed reference list of tools on Ubuntu DSVM; classic configuration reference with product-specific contents and versions.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/release-notes?view=azureml-api-2,Release notes,What's new on the Data Science Virtual Machine - Azure Data Science Virtual Machine,Review Azure DSVM release changes and versions,Release notes for the Azure Data Science Virtual Machine,"This article describes Azure Data Science Virtual Machine releases. For a full list of included tools, along with version numbers, visitthis resource. Because of rapidly evolving needs and packages updates, we target new releases ofAzure Data Science Virtual Machine for WindowsandUbuntuimages every month. Azure portal users can find the latest image available for provisioning the Data Science Virtual Machine. For CLI or Azure Resource Manager (ARM) users, we keep images of individual versions av",2025-08-11T22:09:00.000Z,reference,configuration,0.7,True,Release notes describing DSVM image versions and tool versions; product-specific configuration and versioning information not generally known.,unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/tools-included?view=azureml-api-2,Tools in the Data Science Virtual Machine,Tools included on the Azure Data Science Virtual Machine - Azure Data Science Virtual Machine,Review preinstalled tools on Azure DSVM images,A list of tools included on the Windows and Ubuntu DSVM images,"You can use the Data Science Virtual Machine (DSVM) to easily explore data and handle machine learning in the cloud. A DSVM is preconfigured with security patches, drivers, popular data science and development software, and a complete operating system. You can choose the hardware environment that works for you, ranging from lower-cost CPU-centric machines to powerful machines with multiple GPUs, NVMe storage, and large amounts of memory. For machines with GPUs, all drivers are installed, and all",2024-08-28T16:59:00.000Z,reference,configuration,0.7,True,"Lists concrete tools included on Windows and Ubuntu DSVM images; effectively a configuration reference of what software is present, which is product-specific and not generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/ubuntu-upgrade?view=azureml-api-2,Upgrade your Data Science Virtual Machine to Ubuntu 18.04,How to upgrade your Data Science Virtual Machine to Ubuntu 20.04 - Azure Data Science Virtual Machine,Migrate DSVM from Ubuntu 18.04 to 20.04,Learn how to upgrade from Ubuntu 18.04 to the latest Ubuntu 20.04 Data Science Virtual Machine.,"If you have a Data Science Virtual Machine (DSVM) that runs an older release, such as Ubuntu 18.04, you should migrate your DSVM to Ubuntu 20.04. This migration ensures that you get the latest operating system patches, drivers, preinstalled software, and library versions. This document tells you how to migrate from older Ubuntu versions.",2024-09-25T22:00:00.000Z,upgrade-and-migration-article,decision-making,0.65,True,"Provides guidance on upgrading DSVM to Ubuntu 20.04, including migration considerations and steps; this is a product-specific migration/upgrade decision and process.",unchanged
https://learn.microsoft.com/en-us/azure/machine-learning/data-science-virtual-machine/vm-do-ten-things?view=azureml-api-2,Use a Windows Data Science Virtual Machine,Explore data and model on Windows - Azure Data Science Virtual Machine,,Perform data exploration and modeling tasks on the Windows Data Science Virtual Machine.,"The Windows Data Science Virtual Machine (DSVM) is a powerful data science development environment that supports data exploration and modeling tasks. The environment comes prebuilt and prebundled with several popular data analytics tools that make it easy to start your analysis for on-premises, cloud, or hybrid deployments. The DSVM works closely with Azure services. It can read and process data already stored on Azure, in Azure Synapse (formerly SQL DW), Azure Data Lake, Azure Storage, or Azure",2024-08-28T16:59:00.000Z,how-to,,0.45,False,"Walkthrough of exploration and modeling tasks on Windows DSVM; more of a usage tutorial without configuration tables, limits, or structured troubleshooting.",unchanged
