url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/authentication,Authenticate requests,Authentication in Foundry Tools - Foundry Tools,Configure authentication for Foundry Tools requests,Learn how to authenticate a request to Foundry Tools via Microsoft Entra ID or API key.,"Each request to Foundry Tools must include an authentication header. This header passes along a resource key or authentication token, which is used to validate your subscription for a service or group of services. In this article, you'll learn about three ways to authenticate a request and the requirements for each.",2025-11-18T15:37:00.000Z,how-to,security,0.8,True,"Details multiple auth methods (Entra ID, API keys) and their requirements; includes headers, scopes, and token usage specific to this service.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/autoscale,Increase rate limit,Autoscale Foundry Tools limits - Foundry Tools,Use autoscale to increase Foundry rate limits,Learn how to use the autoscale feature for Foundry Tools to dynamically adjust the rate limit of your service.,"This article provides guidance on how customers can access higher rate limits on certain Foundry Tools resources, including those Foundry Tools used withMicrosoft Foundry.",2026-01-15T18:10:00.000Z,how-to,limits-quotas,0.85,True,Article explicitly about autoscale limits and higher rate limits; such pages usually contain concrete numeric rate limits and scaling constraints.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-container-support,Foundry Tools containers overview,Use Azure containers on-premises - Foundry Tools,Run Foundry Tools using Azure AI containers,Learn how to use Docker containers to use Foundry Tools on-premises.,"Foundry Tools provide severalDocker containersthat let you use the same APIs that are available in Azure, on-premises. Using these containers gives you the flexibility to bring Foundry Tools closer to your data for compliance, security or other operational reasons. Container support is currently available for a subset of Foundry Tools. Containerization is an approach to software distribution in which an application or service, including its dependencies & configuration, is packaged together as a",2026-02-05T23:08:00.000Z,overview,deployment,0.65,True,"On-premises container usage typically includes image names, required environment variables, and runtime constraints, which are deployment-specific.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-custom-subdomains,Custom subdomains for Foundry Tools,Custom subdomains - Foundry Tools,Configure custom subdomains for Foundry endpoints,"Learn how to add custom subdomain names for Foundry Tools resource by using the Azure portal, Azure Cloud Shell, or Azure CLI.","Since July 2019, new Foundry Tools resources use custom subdomain names when created through theAzure portal,Azure Cloud Shell, orAzure CLI. Unlike regional endpoints, which were common for all customers in a specific Azure region, custom subdomain names are unique to the resource. Custom subdomain names are required to enable features like Microsoft Entra ID for authentication.",2025-11-18T15:37:00.000Z,concept-article,configuration,0.75,True,Describes how to set custom subdomain names and their relationship to features like Entra ID; involves specific endpoint formats and settings.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-data-loss-prevention,Configure data loss prevention,Data loss prevention - Foundry Tools,Configure data loss prevention for Foundry outbound calls,Foundry Tools data loss prevention capabilities allow customers to configure the list of outbound URLs their Foundry Tools resources are allowed to access. This configuration creates another level of ,"Foundry Tools data loss prevention capabilities allow customers to configure the list of outbound URLs their Foundry Tools resources are allowed to access. This creates another level of control for customers to prevent data loss. In this article, we'll cover the steps required to enable the data loss prevention feature for Foundry Tools resources.",2025-11-18T15:37:00.000Z,how-to,security,0.8,True,Explains how to configure allowed outbound URLs for Foundry resources; involves specific settings and enforcement behavior.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-environment-variables,Use environment variables,Use environment variables with Foundry Tools - Foundry Tools,Use environment variables for Foundry credentials,This guide shows you how to set and retrieve environment variables for your Foundry Tools credentials when you test applications.,"This guide shows you how to set and retrieve environment variables for your Foundry Tools credentials when you test applications. Important We recommend Microsoft Entra ID authentication withmanaged identities for Azure resourcesto avoid storing credentials with your applications that run in the cloud. Use API keys with caution. Don't include the API key directly in your code, and never post it publicly. If using API keys, store them securely in Azure Key Vault, rotate the keys regularly, and re",2025-10-02T08:00:00.000Z,how-to,configuration,0.75,True,Shows exact environment variable names and usage patterns for Foundry credentials; includes security-focused configuration recommendations.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-limited-access,Limited Access features,Limited Access features for Foundry Tools - Foundry Tools,,Learn how Microsoft protects the rights and safety of individuals by using Limited Access features for Foundry Tools.,"Our vision is to empower developers and organizations to use AI to transform society in positive ways. We encourage responsible AI practices to protect the rights and safety of individuals. To help achieve this goal, Microsoft has implemented a Limited Access policy grounded in ourAI Principlesto support responsible deployment of Azure services.",2026-02-14T06:04:00.000Z,concept-article,,0.4,False,"Limited Access policy overview; mostly policy and principles, not detailed technical configuration or numeric limits in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-support-options,Support & help options,Foundry Tools support and help options - Foundry Tools,,Learn how to obtain help and support for questions and problems when you create applications that integrate with Foundry Tools.,"Here are the options for getting support, staying up to date, giving feedback, and reporting bugs for Foundry Tools.",2025-11-18T15:37:00.000Z,concept-article,,0.2,False,"Support options and help channels; no technical limits, configs, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/cognitive-services-virtual-networks,Use virtual networks,Configure Virtual Networks for Foundry Tools - Foundry Tools,Secure Foundry resources with virtual network rules,Configure layered network security for your Foundry Tools resources.,"Foundry Tools provide a layered security model. This model enables you to secure your Foundry Tools accounts to a specific subset of networks​. When network rules are configured, only applications that request data over the specified set of networks can access the account. You can limit access to your resources withrequest filtering, which allows requests that originate only from specified IP addresses, IP ranges, or from a list of subnets inAzure Virtual Networks. An application that accesses a",2026-02-17T08:00:00.000Z,how-to,security,0.85,True,"Details request filtering, IP ranges, and VNet/subnet configuration for Foundry; includes product-specific network security settings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/commitment-tier,Use commitment tier pricing,Use Foundry Tools with commitment tier pricing - Foundry Tools,Choose and use Foundry commitment tier pricing,"Learn how to sign up for commitment tier pricing, which is different than Standard pricing.","Foundry Tools offers commitment tier pricing, allowing discounted rates compared to the Standard pricing model. With commitment tier pricing, you can commit to using the following Foundry Tools features for a fixed fee, enabling you to have a predictable total cost based on the needs of your workload: For more information, seeFoundry Tools pricing. Note You cannot use commitment tier pricing with a Foundry Tools or a Microsoft Foundry multi-service resource. You must use resources dedicated to s",2025-11-18T15:37:00.000Z,how-to,decision-making,0.7,True,Covers commitment tier vs standard pricing and when to use dedicated resources; likely includes SKU/tier selection guidance and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/azure-container-instance-recipe,Deploy to Azure Container Instance,Azure Container Instance recipe - Foundry Tools,Deploy Foundry containers to Azure Container Instances,Learn how to deploy Azure AI containers on Azure Container Instance,"With the following steps, scale Foundry Tools applications in the cloud easily with AzureContainer Instances. Containerization helps you focus on building your applications instead of managing the infrastructure. For more information on using containers, seefeatures and benefits.",2025-11-18T15:37:00.000Z,how-to,deployment,0.7,True,"Recipe for ACI deployment will include container image details, resource requirements, and ACI-specific constraints for these containers.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/container-faq,General container FAQ,Foundry Tools containers FAQ - Foundry Tools,,Get answers to frequently asked questions.,,2026-01-31T06:05:00Z,faq,,0.4,False,"FAQ summary only; without seeing specific Q&A, no clear evidence of numeric limits, error codes, or config tables.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/container-reuse-recipe,Container Reuse,Recipes for Docker containers - Foundry Tools,Create reusable Azure AI container images with presets,"Learn how to build, test, and store containers with some or all of your configuration settings for deployment and reuse.","Use these container recipes to create Azure AI containers that can be reused. Containers can be built with some or all configuration settings so that they arenotneeded when the container is started. Once you have this new layer of container (with settings), and you have tested it locally, you can store the container in a container registry. When the container starts, it will only need those settings that are not currently stored in the container. The private registry container provides configura",2025-10-02T08:00:00.000Z,how-to,configuration,0.7,True,Describes building containers with baked-in configuration settings and registry usage; likely lists specific environment variables and config parameters.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/disconnected-container-faq,Disconnected containers FAQ,Running Azure AI containers in disconnected environments FAQ - Foundry Tools,,Get answers to frequently asked questions about running containers disconnected from the internet.,,2025-11-18T19:04:00Z,faq,,0.4,False,"Disconnected containers FAQ; summary doesn’t expose specific limits, error codes, or config tables to qualify clearly.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/disconnected-containers,Use containers in disconnected environments,Use Docker containers in disconnected environments - Foundry Tools,Run Foundry containers in disconnected environments,Learn how to run Foundry Tools Docker containers disconnected from the internet.,"Containers enable you to run Foundry Tools APIs in your own environment, and are great for your specific security and data governance requirements. Disconnected containers enable you to use several of these APIs disconnected from the internet. Currently, the following containers can be run in this manner: Before attempting to run a Docker container in an offline environment, make sure you know the steps to successfully download and use the container. For example:",2025-10-02T08:00:00.000Z,reference,deployment,0.7,True,"Offline container guidance usually includes required configuration parameters, licensing/heartbeat behavior, and operational constraints unique to these containers.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/containers/docker-compose-recipe,Deploy with Docker Compose,Use Docker Compose to deploy multiple containers - Foundry Tools,Deploy multiple Azure AI containers with Docker Compose,Learn how to deploy multiple Azure AI containers. This article shows you how to orchestrate multiple Docker container images by using Docker Compose.,"This article shows you how to deploy multiple Azure AI containers. Specifically, you'll learn how to use Docker Compose to orchestrate multiple Docker container images on a single host computer. The example in this article is deploying aDocument Intelligencecontainer and aAI Vision readcontainer together. Note Docker Composeis a tool for defining and running multi-container Docker applications. In Compose, you use a YAML file to configure your application's services. Then, you create and start a",2025-11-18T15:37:00.000Z,how-to,deployment,0.7,True,"Shows a Docker Compose YAML for specific Azure AI containers, including service names, ports, and environment variables—product-specific deployment pattern.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/api-reference,Content Moderator REST API,API reference - Content Moderator - Azure AI services,Reference for Azure Content Moderator REST APIs,Learn about the content moderation APIs for Content Moderator.,You can get started with Azure Content Moderator APIs by doing the following: You can use the followingContent Moderator APIsto set up your post-moderation workflows.,2025-06-12T08:00:00.000Z,reference,integrations,0.8,True,"API reference pages list endpoints, parameters, and constraints unique to the service, which are expert integration details not inferable from general training.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/client-libraries,Using the client library or REST API,Quickstart: Use the Content Moderator client library - Azure AI services,,The Content Moderator API offers client libraries that make it easy to integrate Content Moderator into your applications.,"Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,quickstart,,0.4,False,Quickstart for client libraries; likely basic usage rather than deep configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/encrypt-data-at-rest,Use customer-managed keys,Content Moderator encryption of data at rest - Azure AI services,Understand Content Moderator data-at-rest encryption behavior,Content Moderator encryption of data at rest.,"Content Moderator automatically encrypts your data when it is persisted to the cloud, helping to meet your organizational security and compliance goals.",2025-06-13T05:29:00.000Z,how-to,security,0.6,True,"Encryption article typically documents product-specific encryption behavior and key management options, which are concrete security configuration/behavior details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/content-moderator/export-delete-data,Export or delete account data,Export or delete user data - Content Moderator - Azure AI services,,"You have full control over your data. Learn how to view, export or delete your data in Content Moderator.","Important Azure Content Moderator is deprecated as of February 2024 and will be retired on March 15, 2027. It is replaced byAzure AI Content Safety, which offers advanced AI features and enhanced performance. Azure AI Content Safety is a comprehensive solution designed to detect harmful user-generated and AI-generated content in applications and services. Azure AI Content Safety is suitable for many scenarios such as online marketplaces, gaming companies, social messaging platforms, enterprise m",2025-06-12T08:00:00.000Z,how-to,,0.2,False,"Data export/delete page is likely procedural and policy-oriented without detailed quotas, config tables, or error-code troubleshooting.",unchanged
