url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-cache-token,Cache the authentication token,Cache the authentication token - Azure AI services,Cache Immersive Reader auth tokens for performance,Learn how to cache the authentication token in the Immersive Reader app.,This article demonstrates how to cache the authentication token in order to improve the performance of your application.,2025-01-28T18:04:00.000Z,how-to,best-practices,0.7,True,"Shows how to cache authentication tokens to improve performance; includes product-specific guidance and code patterns for safe token reuse, a concrete best-practice pattern.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-configure-read-aloud,Configure Read Aloud,Configure Read Aloud - Azure AI services,Configure Immersive Reader Read Aloud options,Learn how to configure the various options for Read Aloud in Immersive Reader.,This article demonstrates how to configure the various options for Read Aloud in your Immersive Reader application.,2024-08-28T16:59:00.000Z,how-to,configuration,0.75,True,"Focuses on configuring Read Aloud behavior; likely documents specific option names, allowed values, and defaults in the SDK, fitting configuration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-configure-translation,Configure Translation,Configure translation in Immersive Reader - Azure AI services,Configure translation settings in Immersive Reader,Learn how to configure the various Immersive Reader options for translation.,This article demonstrates how to configure the various options for Translation in the Immersive Reader.,2024-08-28T16:59:00.000Z,how-to,configuration,0.75,True,"Describes translation-related options in Immersive Reader; expected to list option names and values for translation behavior, matching configuration criteria.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-create-immersive-reader,Create an Immersive Reader resource,Create an Immersive Reader resource - Azure AI services,Create Immersive Reader resource and configure Entra auth,Learn how to create a new Immersive Reader resource with a custom subdomain and then configure Microsoft Entra ID in your Azure tenant.,"This article explains how to create an Immersive Reader resource by using the provided script. This script also configures Microsoft Entra authentication. Each time an Immersive Reader resource is created, whether with this script or in the portal, it must be configured with Microsoft Entra permissions. The script creates and configures all the necessary Immersive Reader and Microsoft Entra resources for you. However, you can also configure Microsoft Entra authentication for an existing Immersiv",2024-08-28T16:59:00.000Z,how-to,security,0.8,True,"Describes creating the resource and configuring Microsoft Entra permissions; likely includes specific role assignments, app registrations, and permission scopes unique to Immersive Reader.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-customize-launch-button,Customize the launch button,Edit the Immersive Reader launch button - Azure AI services,Customize the Immersive Reader launch button,Learn how to customize the button that launches the Immersive Reader app.,"This article demonstrates how to customize the button that launches the Immersive Reader, to fit the needs of your application.",2024-08-28T16:59:00.000Z,how-to,integrations,0.65,True,Demonstrates customizing the launch button using SDK options or specific attributes; involves product-specific integration patterns and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-launch-immersive-reader,Launch the Immersive Reader,How to launch the Immersive Reader - Azure AI services,Launch Azure Immersive Reader from application code,"Learn how to launch the Immersive reader using JavaScript, Python, C#, Android, or iOS.","In theoverview, you learned about the Immersive Reader and how it implements proven techniques to improve reading comprehension for language learners, emerging readers, and students with learning differences. This article demonstrates how to launch the Immersive Reader using JavaScript, Python, C#, Android, or iOS.",2026-03-04T23:12:00.000Z,how-to,integrations,0.68,True,"How-to article with language-specific code patterns (JavaScript, Python, C#, Android, iOS) for launching Immersive Reader, including product-specific API usage and parameters beyond generic SDK knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-multiple-resources,Use multiple Immersive Reader resources,Integrate multiple Immersive Reader resources - Azure AI services,Use multiple Immersive Reader resources in one app,Learn how to create a Node.js application using multiple Immersive Reader resources.,"In theoverview, you learned about the Immersive Reader and how it implements proven techniques to improve reading comprehension for language learners, emerging readers, and students with learning differences. In thequickstart, you learned how to use Immersive Reader with a single resource. This tutorial covers how to integrate multiple Immersive Reader resources in the same application. In this tutorial, you learn how to:",2024-08-28T16:59:00.000Z,how-to,integrations,0.8,True,"Tutorial on integrating multiple resources in a Node.js app; likely includes resource selection logic, configuration parameters, and SDK usage patterns unique to this scenario.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-prepare-html,Prepare HTML content,How to prepare HTML content for Immersive Reader - Azure AI services,Prepare HTML content for Immersive Reader integration,Learn how to structure HTML and retrieve your content for use with Immersive Reader.,"This article shows you how to structure your HTML and retrieve the content, so that your Immersive Reader application can use it.",2024-08-28T16:59:00.000Z,how-to,integrations,0.7,True,Explains required HTML structure and content retrieval for Immersive Reader; contains product-specific content formatting and coding patterns beyond generic HTML knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to-store-user-preferences,Store user preferences,Store user preferences for Immersive Reader - Azure AI services,Store and manage Immersive Reader user preferences,Learn how to store user preferences via the Immersive Reader SDK options.,"This article demonstrates how to store the user's UI settings, oruser preferences, via the-preferencesand-onPreferencesChangedImmersive Reader SDK options. When theCookiePolicySDK option is set toEnabled, the Immersive Reader application stores user preferences, such as text size, theme color, and font, by using cookies. These cookies are local to a specific browser and device. Each time the user launches the Immersive Reader on the same browser and device, it opens with the user's preferences f",2024-08-28T16:59:00.000Z,how-to,configuration,0.8,True,"Uses specific SDK options (-preferences, -onPreferencesChanged, CookiePolicy) to persist user settings; clearly documents configuration parameters and their behavior.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to/display-math,Display math,Display math in the Immersive Reader - Azure AI services,Render MathML expressions in Immersive Reader,Learn how to display math in the Immersive Reader app.,The Immersive Reader can display math expressions when provided in the form of Mathematical Markup Language (MathML).,2024-08-28T16:59:00.000Z,how-to,integrations,0.7,True,"Covers how to supply MathML to Immersive Reader; likely includes specific API fields or content formats required for math rendering, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/how-to/set-cookie-policy,Set the cookie policy,Set Immersive Reader cookie policy - Azure AI services,Configure Immersive Reader cookie policy and consent,Learn how to set the cookie policy for the Immersive Reader app.,"The Immersive Reader disables cookie usage by default. If you enable cookie usage, then the Immersive Reader can use cookies to maintain user preferences and track feature usage. If you enable cookie usage in the Immersive Reader, consider the requirements of the EU Cookie Compliance Policy. It's the responsibility of the host application to obtain any necessary user consent in accordance with the EU Cookie Compliance Policy. The cookie policy can be set through the Immersive Readeroptions.",2024-08-28T16:59:00.000Z,how-to,security,0.7,True,Describes cookie policy options via Immersive Reader options and EU compliance considerations; includes specific setting names and security/privacy configuration behavior.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/immersive-reader/language-support,Language support,Language support for Immersive Reader - Azure AI services,Check supported languages for Immersive Reader features,Learn more about the human languages that Immersive Reader supports.,Immersive Reader supports the following human languages.,2024-12-03T23:00:00.000Z,concept-article,limits-quotas,0.75,True,"Language support pages typically list exact supported languages/locales and sometimes feature-specific support tables, which are concrete capability limits not inferable from general training data.",unchanged
