url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-3d-scenes-studio,3D Scenes Studio,3D Scenes Studio (preview) for Azure Digital Twins - Azure Digital Twins,,Learn about 3D Scenes Studio (preview) for Azure Digital Twins.,"Azure Digital Twins3D Scenes Studio (preview)is an immersive 3D environment, where end users can monitor, diagnose, and investigate operational data with the visual context of 3D assets. 3D Scenes Studio empowers organizations to enrich existing 3D models with visualizations powered by Azure Digital Twins data, without the need for 3D expertise. The visualizations can be easily consumed from web browsers. With a digital twin graph and curated 3D model, subject matter experts can leverage the stu",2025-08-27T05:11:00.000Z,concept-article,,0.35,False,Conceptual overview of 3D Scenes Studio capabilities and use cases; detailed configuration is in the separate how-to article.,unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-apis-sdks,APIs and SDKs,Azure Digital Twins APIs and SDKs - Azure Digital Twins,Work with Azure Digital Twins APIs and SDKs,"Learn about the Azure Digital Twins API and SDK options, including information about SDK helper classes and general usage notes.","This article gives an overview of the Azure Digital Twins APIs available, and the methods for interacting with them. You can either use the REST APIs directly with their associated Swaggers, or through an SDK. Azure Digital Twins comes equipped with control plane APIs, data plane APIs, and SDKs for managing your instance and its elements.",2025-01-27T08:00:00.000Z,concept-article,integrations,0.7,True,"Overview of control/data plane APIs and SDKs with helper classes and usage notes; likely lists specific client types, methods, and patterns unique to this service.",unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-azure-digital-twins-explorer,Azure Digital Twins Explorer,Azure Digital Twins Explorer (preview) - Azure Digital Twins,,"Learn about the capabilities and purpose of Azure Digital Twins Explorer (preview) and when it can be a useful tool for visualizing digital models, twins, and graphs.","This article contains information about the Azure Digital Twins Explorer, including its use cases and an overview of its features. For detailed steps on using each feature, seeUse Azure Digital Twins Explorer (preview). Azure Digital Twins Exploreris a developer tool for visualizing and interacting with the data in your Azure Digital Twins instance, including yourmodelsandtwin graph. Here's a view of the explorer window, showing models and twins that have been populated for a sample graph: The v",2025-01-28T12:10:00.000Z,concept-article,,0.35,False,Feature overview and use cases for Azure Digital Twins Explorer; detailed usage is in a separate how-to article.,unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-cli,CLI command set,Azure Digital Twins CLI command set - Azure Digital Twins,Use Azure Digital Twins CLI command set,Learn about the Azure Digital Twins CLI command set.,"Apart from managing your Azure Digital Twins instance in the Azure portal, Azure Digital Twins also has a command set for theAzure CLIthat you can use to do most major actions with the service. This article covers the Azure CLI command set for Azure Digital twins including its uses, how to get it, and the requirements for using it. Some of the actions you can do using the command set include: The command set is calledaz dt, and is part of theAzure IoT extension for Azure CLI. You can view the fu",2025-04-18T11:09:00.000Z,concept-article,integrations,0.7,True,"Describes az dt command set, requirements, and usage; includes specific CLI commands and parameters that are product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-data-explorer-plugin,Querying with the Azure Data Explorer plugin,Querying with the Azure Data Explorer plugin - Azure Digital Twins,Query Digital Twins via Azure Data Explorer plugin,Learn about the Azure Digital Twins query plugin for Azure Data Explorer,"This article is about the Azure Digital Twins query plugin forAzure Data Explorer. The Azure Digital Twins plugin for Azure Data Explorer lets you run Azure Data Explorer queries that access and combine data across the Azure Digital Twins graph and Azure Data Explorer time series databases. Use the plugin to contextualize disparate time series data by reasoning across digital twins and their relationships to gain insights into the behavior of modeled environments. For example, with this plugin, ",2025-01-27T08:00:00.000Z,concept-article,integrations,0.75,True,Covers the Azure Digital Twins plugin for Azure Data Explorer; includes plugin invocation syntax and parameters unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-data-history,Data history (with Azure Data Explorer),Data history (with Azure Data Explorer) - Azure Digital Twins,Configure data history with Azure Data Explorer,Understand the data history feature for Azure Digital Twins.,"Data historyis an integration feature of Azure Digital Twins. It allows you to connect an Azure Digital Twins instance to anAzure Data Explorercluster so that graph updates are automatically historized to Azure Data Explorer. These historized updates include twin property updates, twin lifecycle events, and relationship lifecycle events. Once graph updates are historized to Azure Data Explorer, you can run joint queries using theAzure Digital Twins plugin for Azure Data Explorerto reason across ",2025-01-27T08:00:00.000Z,concept-article,integrations,0.7,True,"Describes integration feature wiring Digital Twins to Azure Data Explorer; likely includes connection settings, table/schema details, and plugin usage.",unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-data-ingress-egress,Data ingress and egress,Data ingress and egress - Azure Digital Twins,Design data ingress and egress for Digital Twins,Learn about the data ingress and egress requirements for integrating Azure Digital Twins with other services.,"Azure Digital Twins is typically used together with other services to create flexible, connected solutions that use your data in different kinds of ways. This article covers data ingress and egress for Azure Digital Twins. Azure Digital Twins can receive data from upstream services such asIoT HuborLogic Apps, which are used to deliver telemetry and notifications. Azure Digital Twins can also useevent routesto send data to downstream services, such asAzure Storage, for storage, workflow integrati",2025-01-27T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,Covers how Digital Twins connects with upstream/downstream services and event routes; describes product-specific integration patterns and flows.,unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-event-notifications,Event notifications,Event notifications - Azure Digital Twins,Interpret Azure Digital Twins event notifications,Learn to interpret various event types and their different notification messages.,"This article covers event notifications generated by Azure Digital Twins, their structure, and details about the various types that can be generated. Different events in Azure Digital Twins producenotifications, which allow the solution backend to be aware when different actions are happening. These notifications are thenroutedto different locations inside and outside of Azure Digital Twins that can use this information to take action. There are several types of notifications that can be generat",2025-01-27T08:00:00.000Z,concept-article,configuration,0.65,True,Explains event notification types and message structures; likely includes schema fields and event type names that are configuration/contract details.,unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-high-availability-disaster-recovery,High availability and disaster recovery,Azure Digital Twins high availability and disaster recovery - Azure Digital Twins,Plan high availability and disaster recovery for Digital Twins,Learn about high availability and disaster recovery features for Azure Digital Twins.,"This article discusses the High Availability (HA) and Disaster Recovery (DR) features for the Azure Digital Twins service, including intra-region HA and cross region DR. This article also explains how you can monitor your service health. Considering business continuity and disaster recovery can help you create resilient IoT solutions, and designing for HA and DR can help you define and achieve appropriate uptime goals for your Azure Digital Twins solution. Azure Digital Twins supports these feat",2025-04-28T22:06:00.000Z,concept-article,architecture-patterns,0.6,True,"Discusses HA/DR features, intra-region and cross-region strategies, and uptime goals; provides product-specific resiliency design guidance.",unchanged
https://learn.microsoft.com/en-us/azure/digital-twins/concepts-models,DTDL models,DTDL models - Azure Digital Twins,,Learn how Azure Digital Twins uses custom models to describe entities in your environment and how to define these models using the Digital Twin Definition Language (DTDL).,"A key characteristic of Azure Digital Twins is the ability to define your own vocabulary and build your twin graph in the self-defined terms of your business. This capability is provided through user-providedmodels. You can think of models as the nouns in a description of your world. Azure Digital Twins models are represented in the JSON-LD-basedDigital Twin Definition Language (DTDL). A model is similar to aclassin an object-oriented programming language, defining a data shape for one particula",2025-01-27T08:00:00.000Z,concept-article,,0.3,False,"Conceptual explanation of DTDL models; mostly definitions and structure, not product-specific config tables or limits.",unchanged
