url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/architecture,Architecture,Azure Lighthouse architecture - Azure Lighthouse,,"Learn about the relationship between tenants in Azure Lighthouse, and the resources created in the customer's tenant that enable that relationship.","Azure Lighthouse helps service providers simplify customer engagement and onboarding experiences, while managing delegated resources at scale with agility and precision. Authorized users, groups, and service principals can work directly in the context of a customer subscription without having an account in that customer's Microsoft Entra tenant or being a co-owner of the customer's tenant. The mechanism used to support this access is called Azure delegated resource management. Tip Azure Lighthou",2025-09-22T08:00:00.000Z,concept-article,,0.3,False,"Architecture explanation of tenants and delegated resource management; conceptual with no numeric thresholds, config tables, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/cloud-solution-provider,Cloud Solution Provider program,Cloud Solution Provider program considerations - Azure Lighthouse,Apply CSP AOBO and Lighthouse security controls,"For CSP partners, Azure delegated resource management helps improve security and control by enabling granular permissions.","If you're aCSP (Cloud Solution Provider)partner, you can already access the Azure subscriptions created for your customers through the CSP program by using the Administer On Behalf Of (AOBO) functionality. This access allows you to directly support, configure, and manage your customers' subscriptions. By usingAzure Lighthouse, you can use Azure delegated resource management along with AOBO. This approach helps improve security and reduces unnecessary access by enabling more granular permissions ",2026-01-21T23:12:00.000Z,concept-article,security,0.7,True,Discusses combining AOBO with Azure delegated resource management to reduce unnecessary access; contains product-specific permission and access control guidance.,unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/cross-tenant-management-experience,Cross-tenant management experiences,Cross-tenant management experiences - Azure Lighthouse,,Azure Lighthouse enables and enhances cross-tenant experiences in many Azure services.,"As a service provider, useAzure Lighthouseto manage your customers' Azure resources from within your own Microsoft Entra tenant. You can perform many common tasks and services across these managed tenants. Tip You can also use Azure Lighthousewithin an enterprise that has multiple Microsoft Entra tenantsto simplify cross-tenant administration.",2026-01-21T06:08:00.000Z,concept-article,,0.2,False,"Describes cross-tenant experiences conceptually; lacks concrete configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/enterprise,Enterprise scenarios,Azure Lighthouse in enterprise scenarios - Azure Lighthouse,,The capabilities of Azure Lighthouse can be used to simplify cross-tenant management within an enterprise which uses multiple Microsoft Entra tenants.,"A common scenario forAzure Lighthouseinvolves a service provider that manages resources in its customers' Microsoft Entra tenants. You can also use Azure Lighthouse capabilities to simplify cross-tenant management within an enterprise that uses multiple Microsoft Entra tenants. In this scenario, users in one of the enterprise's tenants can perform management tasks on the other tenants through Azure Lighthouse, without requiring any other service provider to be involved.",2026-04-06T22:09:00.000Z,concept-article,,0.2,False,"High-level conceptual description of using Azure Lighthouse for cross-tenant management in enterprises. No concrete RBAC roles, configuration parameters, limits, or decision matrices; primarily scenario/overview content.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/isv-scenarios,ISV scenarios,Azure Lighthouse in ISV scenarios - Azure Lighthouse,Apply Azure Lighthouse in ISV SaaS scenarios,ISVs can use the capabilities of Azure Lighthouse for more flexibility with customer offerings.,A typical scenario forAzure Lighthouseinvolves a service provider that manages resources in its customers' Microsoft Entra tenants. Independent Software Vendors (ISVs) using SaaS-based offerings with their customers can also benefit from the capabilities of Azure Lighthouse. Azure Lighthouse is especially helpful for ISVs who offer managed services that require access to a customer's subscription scope.,2026-01-20T23:11:00.000Z,concept-article,decision-making,0.6,True,Gives product-specific guidance for ISVs on when and how to use Lighthouse to access customer subscriptions for managed SaaS offerings.,unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/managed-applications,Azure Lighthouse and Azure managed applications,Azure Lighthouse and Azure managed applications - Azure Lighthouse,Choose between Azure Lighthouse and managed applications,Understand how Azure Lighthouse and Azure managed applications can be used together.,"BothAzure managed applicationsandAzure Lighthouseenable a service provider to access resources in the customer's tenant. It can be helpful to understand the differences in the way that they work, the scenarios that they enable, and how you can use them together. Tip Though this article refers to service providers and customers,enterprises managing multiple tenantscan use the same processes and tools.",2026-01-21T06:08:00.000Z,concept-article,decision-making,0.65,True,"Explains differences, scenarios, and combined use of Lighthouse and Azure managed applications, helping users decide which approach fits their scenario.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/managed-services-offers,Managed Service offers in Microsoft Marketplace,Managed Service offers in Microsoft Marketplace - Azure Lighthouse,Design Managed Service offers for Azure Lighthouse,Offer your Azure Lighthouse management services to customers through Managed Services offers in Microsoft Marketplace.,"You can provide resource management services to customers throughAzure Lighthouseby publishingManaged Serviceoffers toMicrosoft Marketplace. You can make an offer available to all potential customers, or publish a private offer for one or more specific customers. Since you bill customers directly for costs related to these managed services, Microsoft doesn't charge any fees.",2026-01-17T06:02:00.000Z,concept-article,decision-making,0.6,True,Covers how to structure Managed Service offers in Marketplace and when to use public vs private offers; provides product-specific guidance for offer design and customer onboarding decisions.,unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/recommended-security-practices,Recommended security practices,Recommended security practices - Azure Lighthouse,Implement recommended security practices for Azure Lighthouse,"When using Azure Lighthouse, it's important to consider security and access control.","When usingAzure Lighthouse, it's important to consider security and access control. Through Azure Lighthouse, users in your tenant have direct access to customer subscriptions and resource groups, so take steps to help maintain your tenant's security. We also recommend that you only enable the minimum access necessary to effectively manage your customers' resources. This article provides recommendations to help you implement these security practices. Tip These recommendations also apply toenterp",2026-01-21T23:12:00.000Z,concept-article,security,0.85,True,"Explicitly a security recommendations article; contains product-specific DOs and DON'Ts, likely including role usage, tenant hardening, and access minimization patterns unique to Lighthouse.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/concepts/tenants-users-roles,"Tenants, roles, and users","Tenants, users, and roles in Azure Lighthouse scenarios - Azure Lighthouse","Use tenants, users, and roles with Azure Lighthouse","Understand how Microsoft Entra tenants, users, and roles can be used in Azure Lighthouse scenarios.","Before onboarding customers forAzure Lighthouse, it's important to understand how Microsoft Entra tenants, users, and roles work, and how they can be used in Azure Lighthouse scenarios. Atenantis a dedicated and trusted instance of Microsoft Entra ID. Typically, each tenant represents a single organization. Azure Lighthouse enableslogical projectionof resources from one tenant to another tenant. Users in the managing tenant, such as one belonging to a service provider, can access delegated resou",2026-04-06T22:09:00.000Z,concept-article,security,0.68,True,"Describes Azure Lighthouse-specific use of Microsoft Entra tenants, users, and roles in cross-tenant scenarios. While largely conceptual, it contains product-specific security/identity patterns (managing vs customer tenant, delegated access model) that are unique to Azure Lighthouse usage and go beyond generic identity concepts.",unchanged
https://learn.microsoft.com/en-us/azure/lighthouse/how-to/create-eligible-authorizations,Create eligible authorizations,Create eligible authorizations - Azure Lighthouse,Configure eligible authorizations with Azure Lighthouse and PIM,"When onboarding customers to Azure Lighthouse, you can let users in your managing tenant elevate their role on a just-in-time basis.","When you onboard customers to Azure Lighthouse, you create authorizations to grant specified Azure built-in roles to users in your managing tenant. You can also create eligible authorizations that useMicrosoft Entra Privileged Identity Management (PIM)to let users in your managing tenant temporarily elevate their role. This role elevation grants additional permissions on a just-in-time basis so that users only have those permissions for a set duration. By creating eligible authorizations, you mi",2026-04-06T22:09:00.000Z,how-to,security,0.75,True,"Covers product-specific security configuration for Azure Lighthouse using Microsoft Entra PIM, including how to create eligible authorizations and just-in-time role elevation. This is identity/permission configuration unique to Lighthouse + PIM rather than generic security guidance.",unchanged
