url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/carbon-optimization/api-changelog,Carbon optimization API changelog,Carbon optimization service REST API change log - Carbon optimization in Azure,,Learn about changes in the Carbon optimization service REST API.,This article explains changes to the Carbon optimization service REST API between versions.,2025-12-02T23:19:00.000Z,reference,,0.4,False,"API change log; lists version changes but not configuration tables, limits, or troubleshooting mappings. Useful but not fitting the defined sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/api-export-data,Export emissions data with API,Export carbon optimization emissions data - Carbon optimization in Azure,Use Carbon Service REST API to export emissions data,Learn how to export carbon optimization emissions data using the REST API or to a CSV file for detailed analysis and reporting.,"This article helps you understand and use the latestCarbon Service REST APIto export Carbon optimization in Azure emissions data. Emissions data is available for the previous month by day 19 of the current month. To export emissions data using the REST API, you must create and authorize a service principal to access your emissions data. You can then use the service principal to get an authorization token and then export emissions data using the REST API.",2025-10-07T08:00:00.000Z,how-to,integrations,0.8,True,"Describes using the Carbon Service REST API with a service principal and auth token; likely includes endpoint paths, request parameters, and auth scopes specific to this product, matching integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/emissions-terminology,Emissions terminology,Emissions terminology - Carbon optimization in Azure,,Learn about the terminology used in Carbon optimization in Azure.,This article describes the terminology used in association with carbon emissions and Carbon optimization in Azure.,2025-10-07T08:00:00.000Z,concept-article,,0.1,False,"Terminology/definitions article; conceptual vocabulary without product-specific configs, limits, or patterns.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/export-data,Export emissions data to a CSV file,Export emissions data to a CSV file - Carbon optimization in Azure,,Learn how to export Carbon optimization in Azure emissions data to a CSV file using the Azure portal for detailed analysis and reporting.,"You can export Carbon optimization in Azure emissions data using the Azure portal to download a CSV file. Emissions data is available for the previous month by day 17 of the current month. You can export your emissions data in CSV format from theEmissions Trendspage and theEmissions Detailspage in Carbon optimization in the Azure portal. Download and analyze your emissions data using your preferred tools, such as Excel or Power BI.",2025-10-07T08:00:00.000Z,how-to,,0.55,False,"Explains exporting data to CSV via portal; aside from a single availability date (day 17), it’s mainly UI steps without configuration tables or API details, so not strong enough for limits-quotas or configuration.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/overview,Overview,What is Carbon optimization in Azure - Carbon optimization in Azure,,Carbon optimization in Azure is a service that helps you understand and reduce the carbon footprint of your Azure workloads.,"Carbon optimizationhelps organizations measure and minimize the carbon impact of their Azure footprint. With this tool, you can: As part ofMicrosoft's commitment to sustainability and environmental responsibility, and by using it, you can align your cloud strategy with your sustainability goals and demonstrate your leadership in addressing the global climate challenge.",2025-10-07T08:00:00.000Z,overview,,0.1,False,"High-level overview of Carbon optimization; no concrete limits, configs, or detailed patterns.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/permissions,Assign permissions,Assign access to Carbon optimization in Azure - Carbon optimization in Azure,Configure RBAC access for Azure Carbon optimization,Learn how to set up access for Carbon optimization using role-based access control to manage user permissions to view emissions data and recommendations.,"Carbon optimization uses Azure role-based access control (RBAC) to manage user access to emissions data, recommendations, and resource configurations. Depending on the actions a user needs to perform, they must be assigned one or more of the following permissions:",2025-10-07T08:00:00.000Z,how-to,security,0.8,True,"Describes how to assign access using Azure RBAC and lists specific permissions/roles required to view and act on emissions data, which is product-specific security configuration.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/quickstart-view-analyze-emission-data,View and analyze emission data,Quickstart - View and analyze emission data - Carbon optimization in Azure,,"Get started with carbon optimization to view and analyze emissions data, identify trends, and act on recommendations to reduce your carbon footprint.","In this quickstart, you get started with Carbon optimization in the Azure portal. You learn how to view and analyze emissions data and identify trends so you can act on recommendations to reduce your carbon footprint. You begin by selecting subscriptions to focus on, ensuring you have the right level of access and permissions to view and act on emissions data. Following the steps helps you effectively manage and reduce carbon emissions in your Azure environment.",2025-10-30T17:37:00.000Z,quickstart,,0.2,False,"Quickstart walkthrough in portal; likely step-by-step UI usage without detailed configs, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/reduce-emissions,Reduce emissions,How to reduce your carbon emissions in Azure - Carbon optimization in Azure,,How to reduce your carbon emissions in Azure,"Carbon optimization in Azure works with Azure Advisor to provide optimization recommendations. Azure Advisor identifies idle and underutilized resources and shows the associated carbon and cost savings of implementing the recommendations. Recommendations might include shutdown of idle virtual machines, and rightsizing virtual machines. For more recommendations and information on Azure Advisor, seeReduce service costs using Azure Advisor. To view carbon optimization recommendations, navigate to t",2025-10-07T08:00:00.000Z,how-to,,0.3,False,Describes recommendations via Azure Advisor; appears to be conceptual guidance on reducing emissions without product-specific numeric thresholds or configs.,unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/troubleshooting,Troubleshooting,Troubleshoot Carbon optimization in Azure - Carbon optimization in Azure,Troubleshoot common Azure Carbon optimization issues,How to troubleshoot issues in Carbon optimization,This article helps you diagnose and troubleshoot common issues you might encounter when using carbon optimization.,2025-10-07T08:00:00.000Z,how-to,troubleshooting,0.8,True,"Dedicated troubleshooting article; likely organized by specific symptoms and resolutions, possibly including error messages or diagnostic steps unique to this service.",unchanged
https://learn.microsoft.com/en-us/azure/carbon-optimization/tutorial-export-python,Export emissions data with Python,Tutorial - Export carbon optimization emissions data using a Python script - Carbon optimization in Azure,Export Azure carbon data via Python REST integration,Learn how to export carbon optimization emissions data using a Python script to query REST APIs and output JSON files for detailed analysis and reporting.,This tutorial explains how you use a Python script to export Azure Carbon optimization emissions data as JSON output. The Python script runsCarbon Service REST APInetwork requests to get emissions data for your Azure resources. The script simplifies the process of querying the API and handling the response. You run the script to generate the JSON files and then use them for detailed analysis and reporting. This tutorial covers the steps needed to export carbon optimization emissions data on your,2025-10-07T08:00:00.000Z,how-to,integrations,0.65,True,"Tutorial uses a Python script against the Carbon Service REST API; likely includes request URLs, parameters, and payload structures specific to this product, which fits integrations & coding patterns.",unchanged
