url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry-local/concepts/foundry-local-architecture,Foundry Local Architecture,Foundry Local architecture - Foundry Local,,Learn about the architecture and components of Foundry Local,"Important Foundry Local provides efficient, secure, and scalable AI model inference directly on your device. This article explains the core components of Foundry Local and how they work together to deliver AI capabilities.",2026-02-27T23:08:00.000Z,concept-article,,0.3,False,Architecture article is likely conceptual (components and how they interact) without quantified thresholds or decision matrices; falls under general understanding rather than expert configuration or patterns.,unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/get-started,Get Started,Get started with Foundry Local - Foundry Local,Install and configure Foundry Local on your device,"Learn how to install, configure, and run your first AI model with Foundry Local",Important This guide shows you how to set up Foundry Local to run AI models on your device.,2026-02-27T23:08:00.000Z,quickstart,configuration,0.65,True,"A get-started guide for a new product typically includes concrete install commands, environment requirements, and initial configuration parameters (paths, ports, flags) that are product-specific and not in pretraining data.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-chat-application-with-open-web-ui,Integrate with Open WebUI,Integrate Open WebUI with Foundry Local - Foundry Local,Create a chat UI using Open WebUI and Foundry Local,Learn how to create a chat application using Foundry Local and Open WebUI,"Important This article shows you how to create a chat application by using Foundry Local and Open WebUI. When you finish, you have a working chat interface that runs entirely on your local device.",2026-02-27T23:08:00.000Z,how-to,integrations,0.7,True,"Shows how to connect Open WebUI to Foundry Local; includes concrete configuration values (URLs, ports, auth, model identifiers) that are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-compile-hugging-face-models,Compile Hugging Face models to run on Foundry Local,Compile Hugging Face models to run on Foundry Local - Foundry Local,Compile Hugging Face models for Foundry Local with Olive,Learn how to compile and run Hugging Face models with Foundry Local.,"Important Foundry Local runs ONNX models on your device. UseOliveto convert and optimize models from Hugging Face (Safetensors or PyTorch) into ONNX so you can run them with Foundry Local. Important The Olive CLI and optimization settings change over time, and a single command line example might not work for every model, device, or execution provider. For the most reliable, up-to-date examples, start with theOlive Recipes repository. It includes a dedicated recipe formeta-llama/Llama-3.2-1B-Inst",2026-02-27T23:08:00.000Z,how-to,configuration,0.7,True,"Covers using Olive CLI and optimization settings to convert models to ONNX; likely includes CLI flags, config parameters, and recipes that are detailed configuration knowledge for this product’s toolchain.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-integrate-with-inference-sdks,Use chat completions via REST server,Integrate with inference SDKs - Foundry Local,Integrate Foundry Local with OpenAI-compatible SDKs,This article provides instructions on how to integrate Foundry Local with common Inferencing SDKs.,Important Foundry Local integrates with OpenAI-compatible SDKs and HTTP clients through a local REST server. This article shows you how to connect your app to local AI models by using popular SDKs.,2026-02-27T23:08:00.000Z,how-to,integrations,0.8,True,"Shows how to connect Foundry Local via a local REST server to OpenAI-compatible SDKs and HTTP clients; likely includes endpoint URLs, headers, and parameter mappings that are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-transcribe-audio,Transcribe recorded audio files,Transcribe audio files with Foundry Local - Foundry Local,Transcribe audio using Foundry Local transcription API,This article provides instructions on how to transcribe audio using Foundry Local.,"Important Use Foundry Local's native audio transcription API to convert a local audio file into text. In this article, you create a console application that downloads a Whisper model, loads it, and streams transcription output.",2026-03-11T05:31:00.000Z,how-to,integrations,0.7,True,"Shows how to use Foundry Local's native audio transcription API with a Whisper model, including streaming output. This is a product-specific coding pattern/integration with concrete API usage rather than a generic tutorial.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-langchain-with-foundry-local,Integrate with LangChain,Build a translation app with LangChain - Foundry Local,Build a LangChain translation app with Foundry Local,Learn how to build a LangChain application using Foundry Local,Important This article shows you how to build a translation app by using the Foundry Local SDK andLangChain. Use a local model to translate text between languages.,2026-02-27T23:08:00.000Z,how-to,integrations,0.7,True,"Demonstrates wiring Foundry Local into LangChain; likely includes specific configuration for LangChain LLM wrappers, endpoints, and parameters that are integration-specific and not generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-native-chat-completions,Use native chat completions API,Use native chat completions - Foundry Local,Implement native chat completions with Foundry Local SDK,This article provides instructions on how to use native chat completions API in Foundry Local.,"Important The native chat completions API enables you to run chat completions directly in-process, without starting a REST web server. In this article, you create a console app that downloads a local model, generates a streaming chat response, and then unloads the model. This article explains how to use the native chat completions API in the Foundry Local SDK.",2026-03-11T05:31:00.000Z,how-to,integrations,0.7,True,"How-to article with concrete SDK usage patterns (downloading a local model, streaming chat responses, unloading the model). This is product-specific integration/code behavior rather than generic LLM usage, and likely includes API/SDK parameters and patterns unique to Foundry Local.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-tool-calling-with-foundry-local,Use tool calling,Use tool calling with Foundry Local - Foundry Local,Use tool calling with Foundry Local models,Learn how to write applications with Foundry Local that make use of tool calling,"Important Foundry Local can make use of tool calling, a technique where you prompt the model with definitions of available tools that together with a text prompt, allow the model to work out which tools should be called and with what input data. The application then calls those tools and adds the results to a subsequent model prompt to answer the user's query. The tools can perform functions that the model doesn't have access to, such as getting the current weather, or reading files on the local",2026-03-11T05:31:00.000Z,how-to,integrations,0.75,True,"Describes how to define tools, prompt the model, and handle tool calls/results in Foundry Local. This is a product-specific integration pattern with likely SDK parameters and structures for tool definitions and invocation.",unchanged
https://learn.microsoft.com/en-us/azure/foundry-local/reference/reference-best-practice,Best practice and troubleshooting,Best practices and troubleshooting guide for Foundry Local - Foundry Local,Apply best practices and troubleshoot Foundry Local,Guidance on best practices and troubleshooting for Foundry Local.,Important This article lists best practices and troubleshooting tips for Foundry Local.,2026-02-27T23:08:00.000Z,troubleshooting,best-practices,0.9,True,"Explicitly a best practices and troubleshooting guide; expected to contain DO/DON’T guidance, product-specific recommendations, and mappings from issues to resolutions for Foundry Local.",unchanged
