url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/internet-peering/faqs,Internet peering FAQ,Internet Peering - FAQ,,This article provides answers to some of the frequently asked questions asked about Internet peering.,This article provides answers to some of the frequently asked questions about Internet peering.,2026-02-25T08:00:00.000Z,faq,,0.3,False,"FAQ format; summary does not indicate presence of specific error codes, limits tables, or configuration matrices—likely general Q&A.",unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/how-to-exchange-route-server-portal,Create or modify an Exchange peering with route server,Create or Modify an Exchange Peering with Route Server - Azure Portal - Internet Peering,,Create or modify an Exchange peering with Route Server using the Azure portal.,"In this article, you learn how to create a Microsoft Exchange peering with a route server using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete and deprovision it.",2026-02-25T08:00:00.000Z,how-to,,0.45,False,"Portal guide for exchange peering with route server; summary indicates standard create/update/delete steps, not expert-level configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-direct-portal,Create or modify a Direct peering,Create or Modify a Direct Peering - Azure Portal - Internet Peering,,Learn how to create or modify a Direct peering using the Azure portal.,"In this article, you learn how to create a Microsoft Direct peering for an Internet Service Provider or Internet Exchange Provider using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete it.",2026-02-25T08:00:00.000Z,how-to,,0.45,False,"Create/modify direct peering via portal; while it may touch on some settings, the summary suggests a UI walkthrough rather than a comprehensive configuration reference.",unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-exchange-portal,Create or modify an Exchange peering,Create or Modify an Exchange Peering - Azure Portal - Internet Peering,,Learn how to create or modify an Exchange peering using the Azure portal.,"In this article, you learn how to create a Microsoft Exchange peering using the Azure portal. This article also shows you how to check the status of the resource, update it, or delete and deprovision it.",2026-02-25T08:00:00.000Z,how-to,,0.45,False,Create/modify exchange peering via portal; appears to be a procedural article without detailed configuration parameter tables or numeric limits.,unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-legacy-direct-portal,Convert a legacy Direct peering to Azure resource,Convert a Legacy Direct Peering to an Azure Resource Using the Azure Portal - Internet Peering,,Learn how to convert a legacy Direct peering to an Azure resource using the Azure portal.,"In this article, you learn how to convert an existing legacy Direct peering to an Azure resource by using the Azure portal.",2026-02-25T08:00:00.000Z,how-to,,0.35,False,"Legacy direct peering conversion guide; focused on migration steps, not on limits, configuration matrices, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-legacy-exchange-portal,Convert a legacy Exchange peering to Azure resource,Convert a Legacy Exchange Peering to an Azure Resource - Azure Portal - Internet Peering,,Learn how to convert a legacy Exchange peering to an Azure resource using the Azure portal.,"In this article, you learn how to convert an existing legacy Exchange peering to an Azure resource using the Azure portal.",2026-02-25T08:00:00.000Z,how-to,,0.35,False,"Legacy exchange peering conversion walkthrough; migration-focused and not a reference for limits, configs, or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-peering-service-portal,Enable Peering Service on a Direct peering,Enable Azure Peering Service on a Direct Peering - Azure Portal - Internet Peering,,Learn how to enable Azure Peering Service on a Direct peering using the Azure portal.,"In this article, you learn how to enableAzure Peering Serviceon a Direct peering using the Azure portal.",2026-02-25T08:00:00.000Z,how-to,,0.4,False,Portal walkthrough to enable Peering Service on a direct peering; appears to be a basic enablement tutorial rather than a configuration reference.,unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-peering-service-voice-portal,Enable Peering Service Voice on a Direct peering,Enable Azure Peering Service Voice on a Direct Peering - Azure Portal,,Learn how to enable Azure Peering Service for voice on a Direct peering using the Azure portal.,"In this article, you learn how to enable Azure Peering Service for voice on a Direct peering using the Azure portal. For more information, seePeering Service.",2026-02-25T08:00:00.000Z,how-to,,0.4,False,Similar to index 16 but for voice; summary indicates a straightforward enablement guide without detailed parameters or limits.,unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/howto-subscription-association-portal,Associate peer ASN to Azure subscription,Associate Your ASN to Azure Subscription - Azure Portal - Internet Peering,,Learn how to associate peer ASN to Azure subscription using the Azure portal.,"In this article, you learn how to associate your Autonomous System Number (ASN) with an Azure subscription using the Azure portal. As an Internet Service Provider or Internet Exchange Provider, you must associate your peer ASN with an Azure subscription before you submit a peering request.",2026-02-25T08:00:00.000Z,how-to,,0.45,False,Shows how to associate an ASN with a subscription via portal; likely a simple step-by-step UI guide without detailed configuration tables.,unchanged
https://learn.microsoft.com/en-us/azure/internet-peering/overview,About Internet peering,Set Up Peering with Microsoft,,Overview of peering.,Peering is the interconnection between Microsoft’s global network (AS8075) and your network for the purpose of exchanging internet traffic from/to Microsoft online services and Microsoft Azure Services. Carriers or Service Providers can request to connect with Microsoft at any of our Edge locations. Each request is reviewed by Microsoft to ensure that it adheres to our peering policy. You can set up a peering with Microsoft network in two ways: Direct peering: Peering is established over direct ,2026-02-25T08:00:00.000Z,overview,,0.2,False,"High-level overview of Microsoft internet peering; no detailed limits, configuration parameters, or troubleshooting mappings.",unchanged
